,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Afghanistan,0.8,48.1,0.8,0.8,45.7,0.8,0.7,42.7,0.7,0.7,40.6,0.7,0.7,40.3,0.7,0.7,39.5,0.7,0.6,37.8,0.6,0.6,35.9,0.6,0.6,34.3,0.6,0.5,32.2,0.5,0.5,30.4,0.5,0.5,28.8,0.5,0.5,27.7,0.5,0.4,26.5,0.4,0.4,25.3,0.4,0.4,23.4,0.4,0.4,21.8,0.4,0.3,20.4,0.3,0.3,18.0,0.3,0.3,16.5,0.3,0.2,14.7,0.2,0.2,13.5,0.2
Albania,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0
Algeria,1.7,100.2,1.7,1.6,94.8,1.6,1.5,88.6,1.5,1.4,81.5,1.4,1.2,70.9,1.2,1.0,58.9,1.0,0.8,45.2,0.8,0.6,37.5,0.6,0.6,36.2,0.6,0.7,38.5,0.7,0.6,32.7,0.6,0.5,27.5,0.5,0.5,28.7,0.5,0.5,30.5,0.5,0.5,31.1,0.5,0.4,26.3,0.4,0.4,23.6,0.4,0.4,20.8,0.4,0.3,18.5,0.3,0.3,17.0,0.3,0.3,15.6,0.3,0.2,14.1,0.2
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,33.9,2000.4,33.9,41.2,2430.8,41.2,49.5,2919.0,49.5,58.0,3419.9,58.0,58.7,3462.8,58.7,56.7,3344.1,56.7,57.7,3402.1,57.7,58.5,3453.7,58.5,61.6,3636.8,61.6,62.1,3662.0,62.1,60.1,3544.9,60.1,57.5,3390.7,57.5,56.6,3338.5,56.6,55.1,3250.3,55.1,53.5,3157.5,53.5,51.2,3018.6,51.2,49.0,2888.9,49.0,45.4,2679.2,45.4,42.0,2476.6,42.0,38.2,2252.5,38.2,34.3,2022.7,34.3,30.3,1788.5,30.3
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.2,2.7,0.2,0.2,3.5,0.2,0.2,4.4,0.2,0.4,5.8,0.4,0.3,7.0,0.3,0.0,9.4,0.0,1.0,7.4,1.0,0.0,8.6,0.0,1.0,11.7,1.0,1.1,4.8,1.1,0.0,17.9,0.0,1.0,10.0,1.0,2.0,23.2,2.0,1.0,9.9,1.0,0.0,20.5,0.0,0.0,35.2,0.0,1.1,19.7,1.1,0.0,22.9,0.0,1.0,29.0,1.0,2.0,49.0,2.0,1.1,30.4,1.1,1.1,54.7,1.1
Armenia,0.0,1.1,0.0,0.0,1.7,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.3,0.0,0.0,1.4,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0
